metric_label,img_idx,mos_rating,mos_zscore,score
kNN_dc_ae_l10_k1,1,10.383351573636363,-3.0909231051976005,237619.515625
kNN_dc_ae_l10_k1,2,11.237612673636363,-3.0416858884420805,368156.96875
kNN_dc_ae_l10_k1,3,12.873956289545454,-2.9473716263235947,697628.125
kNN_dc_ae_l10_k1,4,13.852077771363637,-2.8909954441311574,213932.875
kNN_dc_ae_l10_k1,5,14.772021149545454,-2.8379724848575316,207374.96875
kNN_dc_ae_l10_k1,6,15.774696462272727,-2.780181088634338,671896.375
kNN_dc_ae_l10_k1,7,16.11136225,-2.760776615734313,301939.1875
kNN_dc_ae_l10_k1,8,16.718538883636366,-2.7257806554602935,216794.515625
kNN_dc_ae_l10_k1,9,16.83383592,-2.719135257266808,178265.625
kNN_dc_ae_l10_k1,10,16.977602550909094,-2.710848951395825,179946.75
kNN_dc_ae_l10_k1,11,17.128398308636363,-2.702157506345793,327533.5
kNN_dc_ae_l10_k1,12,17.49981897681818,-2.680749859495494,246630.875
kNN_dc_ae_l10_k1,13,18.01987185318182,-2.650775468530193,231792.90625
kNN_dc_ae_l10_k1,14,18.22368484818182,-2.639028258441373,407300.46875
kNN_dc_ae_l10_k1,15,18.40435578590909,-2.628614891705722,241691.5
kNN_dc_ae_l10_k1,16,18.964998386363636,-2.5963010227481416,235101.0625
kNN_dc_ae_l10_k1,17,19.531784013636365,-2.563633086933271,172050.21875
kNN_dc_ae_l10_k1,18,21.457911477272727,-2.4526164956056054,278883.21875
kNN_dc_ae_l10_k1,19,22.164942098181818,-2.411865231226962,214729.4375
kNN_dc_ae_l10_k1,20,22.207954510454545,-2.4093861162745784,430814.4375
kNN_dc_ae_l10_k1,21,22.336504287727273,-2.401976867220102,188181.0625
kNN_dc_ae_l10_k1,22,22.775860404545455,-2.376653611418521,217294.25
kNN_dc_ae_l10_k1,23,23.03693973772727,-2.361605730017554,217606.859375
kNN_dc_ae_l10_k1,24,23.073138160909092,-2.359519354308287,247964.46875
kNN_dc_ae_l10_k1,25,23.859046570909094,-2.314221795127428,464053.5625
kNN_dc_ae_l10_k1,26,24.108436355454547,-2.299847666563835,216067.859375
kNN_dc_ae_l10_k1,27,24.136628927727273,-2.2982227256741137,184091.21875
kNN_dc_ae_l10_k1,28,24.706419758636365,-2.2653815783401448,299679.03125
kNN_dc_ae_l10_k1,29,25.160939161363636,-2.2391843532157982,250680.0
kNN_dc_ae_l10_k1,30,25.272293834545454,-2.2327661817923388,140289.8125
kNN_dc_ae_l10_k1,31,25.739496508636364,-2.205837928436342,260545.421875
kNN_dc_ae_l10_k1,32,26.08368123090909,-2.1860000852119685,222318.703125
kNN_dc_ae_l10_k1,33,26.26193154681818,-2.175726236337011,201723.296875
kNN_dc_ae_l10_k1,34,26.29922768272727,-2.1735765915411758,231408.890625
kNN_dc_ae_l10_k1,35,26.647243233181822,-2.153517950111732,675231.8125
kNN_dc_ae_l10_k1,36,26.80277036,-2.144553802201322,188127.4375
kNN_dc_ae_l10_k1,37,27.710613355454544,-2.0922282750911965,379854.0
kNN_dc_ae_l10_k1,38,27.723830698181818,-2.0914664644822447,264549.5625
kNN_dc_ae_l10_k1,39,27.94224735681818,-2.078877540130785,192542.25
kNN_dc_ae_l10_k1,40,28.008295531363636,-2.0750707083712667,145988.484375
kNN_dc_ae_l10_k1,41,28.427649107272728,-2.0509003429944066,244744.71875
kNN_dc_ae_l10_k1,42,28.610673086363636,-2.0403513535461495,260620.671875
kNN_dc_ae_l10_k1,43,28.864666542727274,-2.0257118822352584,240762.21875
kNN_dc_ae_l10_k1,44,28.872480873181818,-2.0252614861182057,222491.15625
kNN_dc_ae_l10_k1,45,29.867093540909092,-1.9679347981668596,903207.6875
kNN_dc_ae_l10_k1,46,30.946254809545454,-1.9057349657057894,136969.28125
kNN_dc_ae_l10_k1,47,31.113843444545456,-1.8960756262517786,248787.375
kNN_dc_ae_l10_k1,48,31.75240744409091,-1.8592705861324392,150843.0625
kNN_dc_ae_l10_k1,49,31.962474827272725,-1.8471628906292867,175141.96875
kNN_dc_ae_l10_k1,50,32.10326235227273,-1.8390482920775113,215858.078125
kNN_dc_ae_l10_k1,51,32.57260997909091,-1.8119964096549876,217614.515625
kNN_dc_ae_l10_k1,52,33.29309288772727,-1.770469793095747,180946.84375
kNN_dc_ae_l10_k1,53,33.63066458409091,-1.751013106159651,231560.625
kNN_dc_ae_l10_k1,54,33.94931614045454,-1.7326469230920152,175695.609375
kNN_dc_ae_l10_k1,55,34.254768114545456,-1.7150415269704833,215769.59375
kNN_dc_ae_l10_k1,56,35.01583384090909,-1.6711758304824154,220745.546875
kNN_dc_ae_l10_k1,57,35.61844186090909,-1.6364431923003018,255184.21875
kNN_dc_ae_l10_k1,58,36.50372615909091,-1.5854178853071164,276832.625
kNN_dc_ae_l10_k1,59,36.74721518909091,-1.5713838597056917,305513.09375
kNN_dc_ae_l10_k1,60,37.183868766818186,-1.5462163706866658,266817.5625
kNN_dc_ae_l10_k1,61,37.586910895,-1.5229861514634166,177580.5625
kNN_dc_ae_l10_k1,62,37.90925234181818,-1.504407293446501,173692.46875
kNN_dc_ae_l10_k1,63,39.159607152727276,-1.4323403447746748,293796.15625
kNN_dc_ae_l10_k1,64,39.16116855045455,-1.4322503501836308,338227.9375
kNN_dc_ae_l10_k1,65,39.50363207727273,-1.4125117118436592,244954.71875
kNN_dc_ae_l10_k1,66,39.72578294681818,-1.3997075580360745,233368.125
kNN_dc_ae_l10_k1,67,40.10658689318182,-1.3777590853168278,210196.84375
kNN_dc_ae_l10_k1,68,40.511631334545456,-1.3544134583708745,246553.96875
